DATE,DTB3
14/2/13,0.11
15/2/13,0.1
18/2/13,.
19/2/13,0.12
20/2/13,0.12
21/2/13,0.13
22/2/13,0.13
25/2/13,0.12
26/2/13,0.14
27/2/13,0.11
28/2/13,0.11
1/3/13,0.11
4/3/13,0.11
5/3/13,0.08
6/3/13,0.1
7/3/13,0.1
8/3/13,0.1
11/3/13,0.1
12/3/13,0.1
13/3/13,0.09
14/3/13,0.1
15/3/13,0.09
18/3/13,0.07
19/3/13,0.07
20/3/13,0.07
21/3/13,0.07
22/3/13,0.07
25/3/13,0.08
26/3/13,0.07
27/3/13,0.09
28/3/13,0.07
29/3/13,.
1/4/13,0.08
2/4/13,0.07
3/4/13,0.06
4/4/13,0.07
5/4/13,0.07
8/4/13,0.07
9/4/13,0.06
10/4/13,0.07
11/4/13,0.07
12/4/13,0.06
15/4/13,0.06
16/4/13,0.06
17/4/13,0.06
18/4/13,0.05
19/4/13,0.05
22/4/13,0.05
23/4/13,0.05
24/4/13,0.06
25/4/13,0.05
26/4/13,0.05
29/4/13,0.05
30/4/13,0.05
1/5/13,0.06
2/5/13,0.05
3/5/13,0.05
6/5/13,0.04
7/5/13,0.04
8/5/13,0.04
9/5/13,0.04
10/5/13,0.04
13/5/13,0.05
14/5/13,0.05
15/5/13,0.04
16/5/13,0.03
17/5/13,0.04
20/5/13,0.05
21/5/13,0.04
22/5/13,0.04
23/5/13,0.05
24/5/13,0.04
27/5/13,.
28/5/13,0.05
29/5/13,0.05
30/5/13,0.04
31/5/13,0.04
3/6/13,0.05
4/6/13,0.04
5/6/13,0.05
6/6/13,0.05
7/6/13,0.04
10/6/13,0.05
11/6/13,0.05
12/6/13,0.05
13/6/13,0.05
14/6/13,0.05
17/6/13,0.05
18/6/13,0.05
19/6/13,0.05
20/6/13,0.05
21/6/13,0.05
24/6/13,0.06
25/6/13,0.06
26/6/13,0.06
27/6/13,0.06
28/6/13,0.04
1/7/13,0.04
2/7/13,0.03
3/7/13,0.05
4/7/13,.
5/7/13,0.04
8/7/13,0.05
9/7/13,0.04
10/7/13,0.04
11/7/13,0.04
12/7/13,0.04
15/7/13,0.04
16/7/13,0.03
17/7/13,0.03
18/7/13,0.03
19/7/13,0.03
22/7/13,0.04
23/7/13,0.02
24/7/13,0.03
25/7/13,0.02
26/7/13,0.03
29/7/13,0.03
30/7/13,0.04
31/7/13,0.04
1/8/13,0.04
2/8/13,0.04
5/8/13,0.05
6/8/13,0.04
7/8/13,0.05
8/8/13,0.05
9/8/13,0.05
12/8/13,0.06
13/8/13,0.06
14/8/13,0.05
15/8/13,0.05
16/8/13,0.05
19/8/13,0.06
20/8/13,0.04
21/8/13,0.04
22/8/13,0.03
23/8/13,0.03
26/8/13,0.04
27/8/13,0.05
28/8/13,0.03
29/8/13,0.02
30/8/13,0.03
2/9/13,.
3/9/13,0.02
4/9/13,0.02
5/9/13,0.02
6/9/13,0.02
9/9/13,0.02
10/9/13,0.02
11/9/13,0.02
12/9/13,0.01
13/9/13,0.01
16/9/13,0.02
17/9/13,0.01
18/9/13,0.01
19/9/13,0.01
20/9/13,0.01
23/9/13,0.02
24/9/13,0.02
25/9/13,0.02
26/9/13,0
27/9/13,0.02
30/9/13,0.02
1/10/13,0.02
2/10/13,0.02
3/10/13,0.03
4/10/13,0.03
7/10/13,0.03
8/10/13,0.05
9/10/13,0.05
10/10/13,0.05
11/10/13,0.08
14/10/13,.
15/10/13,0.14
16/10/13,0.1
17/10/13,0.05
18/10/13,0.04
21/10/13,0.04
22/10/13,0.04
23/10/13,0.04
24/10/13,0.03
25/10/13,0.04
28/10/13,0.04
29/10/13,0.04
30/10/13,0.04
31/10/13,0.04
1/11/13,0.04
